{'bisim_weight': 7, 'model_epoch': 35, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527053731_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 40, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527055032_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 45, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527060335_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 50, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527061643_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 5, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527063000_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 10, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527064306_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 15, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527065606_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 20, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527070906_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 25, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527072207_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 30, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527073506_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 35, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527074806_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 40, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527080102_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 45, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527081403_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 50, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527082657_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 5, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527083957_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 10, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527085300_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 15, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527090601_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 20, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527091900_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 25, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527093200_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 30, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527094500_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 35, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527095800_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 40, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527101056_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 45, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527102355_mod1_bisim_1024_coef_1_gH5/logs.json'}
