{'bisim_weight': 7, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527124404_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527125658_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527130951_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527132244_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527133537_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527134829_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527140122_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 50, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527141414_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527142706_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527144000_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527145248_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527150541_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527151834_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527153121_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527154412_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527155704_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527160956_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 50, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527162247_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 5, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527163535_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527164829_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527170118_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527171411_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527172704_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 30, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527173952_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527175244_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527180536_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 45, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527181829_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 50, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527183122_mod1_bisim_1024_coef_1_gH5/logs.json'}
