{'bisim_weight': 8, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526060822_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526061256_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526061704_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526062046_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526062404_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526063656_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526064039_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 8, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526064445_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 12, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526065032_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526065555_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 17, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526070027_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526070754_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526071111_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526071538_mod1_bisim_1024_coef_1_gH5/logs.json'}
